regionName,countryCode,nameType,parentCode,year1,year2,year3,year4,year5,year6,year7,year8,year9,year10,year11,year12,year13,year14,year15,year16,year17,year18,year19,year20,year21,year22,year23,year24,year25,year26,year27,year28,year29,year30
Latin America and the Caribbean,904,Region,1840,51.4,54.24,56.79,58.95,61.23,63.33,65.29,67.15,68.96,70.67,72.25,73.45,74.44,75.24,76.07,77,77.97,78.83,79.67,80.48,81.26,82,82.7,83.36,83.99,84.59,85.17,85.73,86.27,86.81
Northern America,905,Region,1840,68.71,69.7,70.2,70.51,71.56,73.35,74.51,75.07,75.85,76.68,77.42,78.44,79.23,79.15,79.5,80.23,81.32,82.04,82.75,83.44,84.08,84.68,85.25,85.81,86.34,86.86,87.37,87.89,88.41,88.92
Oceania,909,Region,1840,59.09,61.81,63.4,64.58,66.27,68.16,69.89,71.06,72.58,73.62,74.91,76.25,77.35,78.44,79.25,79.9,80.5,81.03,81.53,82,82.46,82.91,83.35,83.77,84.2,84.64,85.11,85.61,86.12,86.64
Sustainable Development Goal (SDG) regions,1828,Label/Separator,900,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
SUB-SAHARAN AFRICA,947,SDG region,1828,36.36,38.61,40.88,42.83,44.91,46.95,48.53,49.56,49.12,49.36,50.55,54.04,57.85,60.52,62.12,63.56,64.87,66.04,67.1,68.08,68.98,69.82,70.6,71.35,72.06,72.73,73.38,74.01,74.63,75.25
Eastern Africa,910,Subregion,947,37.42,39.99,42.67,44.62,46.34,47.86,48.58,49.39,47.69,49.24,51.46,56.07,60.97,64.15,65.82,67.27,68.55,69.68,70.69,71.62,72.48,73.29,74.07,74.83,75.57,76.29,77.01,77.72,78.42,79.12
Burundi,108,Country/Area,910,39.03,40.53,42.03,43.53,44.23,46.29,47.28,48.51,47.03,47.32,51.42,55.27,58.92,61.03,62.71,64.29,65.71,66.99,68.16,69.2,70.15,71.01,71.84,72.6,73.34,74.07,74.79,75.5,76.21,76.93
Comoros,174,Country/Area,910,38.72,40.47,42.47,44.48,46.85,49.06,52.29,55.29,57.82,59.29,59.6,60.89,62.83,63.98,65.03,65.96,66.79,67.56,68.27,68.95,69.59,70.2,70.79,71.35,71.93,72.5,73.07,73.65,74.24,74.83
Djibouti,262,Country/Area,910,41.04,42.95,45.18,47.35,50.9,52.55,54.67,56.11,57.02,57.02,57.29,59.05,61.56,66.54,67.87,69.06,70.11,71.05,71.91,72.71,73.49,74.24,75,75.74,76.48,77.21,77.95,78.7,79.45,80.18
Eritrea,232,Country/Area,910,34.08,36.68,40.08,42.15,44.12,45.91,47.33,48.69,50.77,53.97,56.7,60.71,63.42,65.74,67.48,68.95,70.21,71.27,72.23,73.09,73.94,74.75,75.54,76.3,77.06,77.81,78.56,79.31,80.05,80.79
Ethiopia,231,Country/Area,910,34.08,36.68,40.08,42.14,43.52,44.26,43.52,46.15,48.07,50.7,53.61,59.08,63.7,65.97,67.81,69.37,70.7,71.84,72.84,73.77,74.63,75.47,76.27,77.06,77.83,78.6,79.35,80.11,80.85,81.59
Kenya,404,Country/Area,910,42.57,45.1,48.44,51.12,53.96,56.49,58.83,58.6,55.66,51.77,51.69,58.49,62.92,66.18,67.47,68.61,69.61,70.52,71.38,72.18,72.94,73.7,74.44,75.2,75.95,76.69,77.44,78.2,78.97,79.74
